Coil_ID, X [m], Y [m], Z [m]
1, 4.212633, 1.316492, 1.229626
1, 4.198584, 1.305075, 1.231253
1, 4.184658, 1.293520, 1.232882
1, 4.170856, 1.281828, 1.234514
1, 4.157180, 1.270001, 1.236150
1, 4.143631, 1.258040, 1.237790
1, 4.130211, 1.245946, 1.239437
1, 4.116920, 1.233722, 1.241090
1, 4.103761, 1.221368, 1.242751
1, 4.090734, 1.208886, 1.244420
1, 4.077841, 1.196279, 1.246099
1, 4.065083, 1.183547, 1.247788
1, 4.052461, 1.170692, 1.249488
1, 4.039977, 1.157715, 1.251200
1, 4.027631, 1.144619, 1.252925
1, 4.015425, 1.131406, 1.254664
1, 4.003359, 1.118075, 1.256419
1, 3.991436, 1.104631, 1.258188
1, 3.979655, 1.091073, 1.259975
1, 3.968019, 1.077405, 1.261779
1, 3.956527, 1.063627, 1.263602
1, 3.945182, 1.049741, 1.265444
1, 3.933984, 1.035750, 1.267307
1, 3.922934, 1.021654, 1.269191
1, 3.912033, 1.007457, 1.271097
1, 3.901282, 0.993159, 1.273026
1, 3.890681, 0.978762, 1.274979
1, 3.880232, 0.964268, 1.276956
1, 3.869936, 0.949680, 1.278960
1, 3.859793, 0.934998, 1.280990
1, 3.849804, 0.920226, 1.283048
1, 3.839970, 0.905363, 1.285134
1, 3.830291, 0.890414, 1.287250
1, 3.820769, 0.875379, 1.289395
1, 3.811404, 0.860260, 1.291572
1, 3.802196, 0.845060, 1.293781
1, 3.793147, 0.829780, 1.296022
1, 3.784256, 0.814422, 1.298297
1, 3.775525, 0.798988, 1.300607
1, 3.766954, 0.783480, 1.302952
1, 3.758543, 0.767900, 1.305334
1, 3.750293, 0.752250, 1.307752
1, 3.742205, 0.736532, 1.310208
1, 3.734279, 0.720748, 1.312703
1, 3.726515, 0.704900, 1.315238
1, 3.718914, 0.688990, 1.317813
1, 3.711477, 0.673020, 1.320430
1, 3.704202, 0.656992, 1.323088
1, 3.697092, 0.640908, 1.325789
1, 3.690146, 0.624770, 1.328534
1, 3.683364, 0.608579, 1.331324
1, 3.676747, 0.592339, 1.334158
1, 3.670295, 0.576051, 1.337039
1, 3.664007, 0.559717, 1.339966
